pacbio_estimated_genome_size,pacbio_estimated_repeat_percent,pacbio_estimated_heterozygosity_percent,abh_number,b&f_number,scientific_name ,common_name ,family,england ,scotland ,wales ,northern_ireland,republic_of_ireland,reintroduced,immigrant ,resident,extinct_gb ,extinct_i,red_list_gb ,red_list_ireland,gb_10_km_squares_(2000-2016),ireland_10_km_squares_(2000-2016),rarirty_gb,long_term_distribution_trend_gb,sig_long_term_distribution_trend_gb,range_long_term_distribution_trend_gb,short_term_distribution_trend_gb,sig_short_term_distribution_trend_gb,range_short_term_distribution_trend_gb,abundance_trend_gb,sig_abundance_trend_gb,range_abundance_trend_gb ,diurnal ,nocturnal ,easily_disturbed_by_day,communal_or_nest,below_ground,leaf_litter_moss_on_ground_soil_surface,hostplant_external,hostplant_internal_stem,hostplant_internal_root,other_vegetation_external,stone_inc_walls,dead_rotten_wood ,wingless_reduced_wing_female,forewing_minimum,forewing_maximum,estimated_dry_mass,obligate_univoltine,obligate_multivoltine,partial_generation,phenology_shift,egg_jan,egg_feb,egg_mar,egg_apr,egg_may,egg_jun,egg_jul,egg_aug,egg_sep,egg_oct,egg_nov,egg_dec,lar_jan,lar_feb,lar_mar,lar_apr,lar_may,lar_jun,lar_july,lar_aug,lar_sep,lar_oct,lar_nov,lar_dec,lar_multiple,pup_jan,pup_feb,pup_mar,pup_apr,pup_may,pup_jun,pup_jul,pup_aug,pup_sep,pup_oct,pup_nov,pup_dec,pup_multiple,ad_jan,ad_feb,ad_mar,ad_apr,ad_may,ad_jun,ad_jul,ad_agu,ad_sep,ad_oct,ad_nov,ad_dec,egg,larva,pupa,adult,specificity ,number_hostplants,hostplant_or_hostplant_category,hostplant_or_hostplant_category_scientific,hostplant_native_or_non-native,light_value,moisture_value,reaction,nitrogen,salt_tolerance,sedges,rushes,grasses ,forbs,ferns,broadleaf_trees,coniferous_trees,shrubs_dwarf_shrubs,mosses,lichens_algae,fungi,slime_moulds,detritus,aquatic_plants,dead_withered_leaves,live_dead_invertebrates_meat,galls,stored_goods,roots,stem_shoot,trunk_branches,seeds_berries_fruits,flowers_flower_buds_catkins,leaves_leaf_buds_fronds_external,leaves_internal_mines,other,willow Salix spp,birches Betula spp,Blackthorn (Prunus spinosa),oaks Quercus spp,Hawthorn Crataegus monogyna,docks Rumex spp,Hazel Corylus avellana,Heather Calluna vulgaris,grasses ,Bramble Rubus fruticosus,Bilberry Vaccinium myrtillus,Alder Alnus glutinosa,Pedunculate Oak Quercus robur,Aspen Populus tremula,elms Ulmus spp.,dandelions Taraxacum spp., Downy Birch Betula pubescens,hawthorns Crataegus spp.,Beech Fagus sylvatica,Honeysuckle Lonicera periclymenum,1. Woodland,1a_broadleaved_woodland,1b_coniferious_woodland,1c_scrub_and_hedgerows,1d_wet_woodland_alder_willow_carr,2_heathland,3_moorland,4_grassland,4a_calcareou_grassland,4b_wet_grassland,4c_acid_grassland,5_wetlands,5a_bog_mosses_mires,5b_fens_and_marshes,5c_reedbeds,6a_sand_dunes,6b_saltmarsh,6c_rocky_coast,6d_coastal_shingle,7_montane_upland,8_other
"327,182,653",22.51,0.65,70.045,1732,Scotopteryx chenopodiata,Shaded Broad-bar,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1703,390,,-16,Y,1970 - 2016,-0.50,N,2000 - 2016,-59.80,Y,1970 - 2016,,1,1,,,1,,,,,,,,16,19,14.4,1,,,-4.4,,,,,,,,1,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,,,,,1,,,Oligophagous (Family),2,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,
"300,321,088",19.36,2.78,70.049,1728,Xanthorhoe fluctuata,Garden Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1995,342,,20,Y,1970 - 2016,-0.70,N,2000 - 2016,-76.20,Y,1970 - 2016,,1,,,1,,,,,,,,,13,16,8.9,,1,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,1,1,1,,,,,1,1,1,1,1,1,1,,,,,1,,Oligophagous (Family),9,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,3,
"268,206,954",19.78,2.14,70.051,1724,Xanthorhoe spadicearia,Red Twin-spot Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1424,37,,35,Y,1970 - 2016,3.90,N,2000 - 2016,-8.90,N,1970 - 2016,,1,1,,,1,,,,,,,,12,13,6.1,1,1,1,,,,,,,1,,1,,,,,,,,,,1,1,1,1,,,,,1,1,1,1,1,,1,,,1,1,1,,,,,1,1,1,1,1,1,,,,,,1,,Polyphagous,2,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,1,,1,1,,1,,,,,,3,
"363,943,718",32.02,1.67,70.061,1738,Epirrhoe alternata,Common Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2288,553,,28,Y,1970 - 2016,-3.60,N,2000 - 2016,28.80,N,1970 - 2016,,1,1,,,1,,,,,,,,13,14,7.4,,1,,,,,,,,1,,,1,,,,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,1,,1,1,1,,,,,,1,1,1,1,1,,,,,,1,,Polyphagous,4,, ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,,,1,1,,1,,,,,,3,
"345,352,558",25.68,1.17,70.067,1747,Anticlea derivata,Streamer,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1394,149,,12,N,1970 - 2016,2.40,N,2000 - 2016,-34.90,N,1970 - 2016,,1,,,1,,,,,,,,,14,16,9.7,1,,,-10.2,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,1,1,1,1,1,,,,1,1,1,,,,,,,,,,1,,Polyphagous,5,, ,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,
"417,072,783",31.06,0.71,70.074,1777,Hydriomena furcata,July Highflier,Geometridae,1,1,1,1,1,,,1,,,LC,LC,2161,484,,-8,Y,1970 - 2016,13.60,Y,2000 - 2016,-3.50,N,1970 - 2016,,1,1,,1,1,,,,,,,,14,18,11.5,1,,,-6.5,1,1,1,1,,,,,1,1,1,1,,,,1,1,1,?,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,,,,1,,,,Polyphagous,8,, ,1,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,1,,,1,,,,,,1,,,,1,1,1,1,1,1,1,,,,,1,,1,,,,,,3,
"363,285,257",30.41,1.6,70.079,1769,Thera britannica,Spruce Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1742,319,,557,Y,1970 - 2016,76.10,Y,2000 - 2016,3362.80,Y,1970 - 2016,,1,1,,1,1,,,,,,,,13,17,9.7,,1,,,,,,,,1,1,,,1,,,1,1,1,1,1,1,1,,?,?,1,1,,,,,1,1,,,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,1,,,Polyphagous,10,, ,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,3,
"412,020,324",37.34,1,70.081,1768,Thera obeliscata,Grey Pine Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1779,300,,10,N,1970 - 2016,-8.60,N,2000 - 2016,-47.20,Y,1970 - 2016,,1,1,,1,,,,,,,,,13,17,9.7,,1,,,,,,,,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,1,,,,,,,,1,1,1,1,1,1,1,1,,,1,,,Polyphagous,8,, ,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,3,
"356,050,379",24.02,0.65,70.082,1771,Thera juniperata,Juniper Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,428,4,,-77,Y,1980 - 2016,-30.20,N,2000 - 2016,417.20,Y,1970 - 2016,,1,,,,1,1,,,,,,,11,14,6.1,1,,,8.5,1,1,1,1,1,1,1,,,,1,1,,,,,,,1,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,,1,,,,Oligophagous (Genus),1,junipers Juniperus spp.,Juniperus spp.,2,8,5,5,3,0,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,
"377,634,269",35.98,0.99,70.084,1766,Plemyria rubiginata,Blue-bordered Carpet,Geometridae,1,1,1,1,1,,,1,,,LC,LC,1083,107,,-11,N,1970 - 2016,2.30,N,2000 - 2016,173.30,Y,1970 - 2016,,1,,,,,1,,,,,,,12,15,7.4,1,,,-11.3,1,1,1,,,,,,1,1,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,1,,,,Polyphagous,7,, ,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,1,,,,,,1,,,1,1,,1,,,,,,,,1,,1,,,,,,,
